,K00370,K00371,K10535,K10944,K10945
Acau1,17.470354,6.477682,14.406996,13.853596,1.169323
Acau2,18.463802,3.710351,0,0,1.436963
Acon1,16.38662,11.266029,4.174951,14.201094,0.591561
Acon2,11.129958,6.627987,5.819606,14.263798,1.002282
Acon3,8.852522,5.822437,8.54418,15.931964,5.416642
Acra1,45.542233,31.958871,19.920669,17.745391,4.895638
Aful2,40.694836,23.42159,12.996626,0,0.549065
Ibir2,21.310885,29.399968,0,0,0
Vrig3,0,13.609415,0,0,0
Wfilter1,56.493179,41.195112,6.754742,0,0
Wfilter2,52.725762,44.059712,0,0.118374,0.299733
Wfilter3,35.040564,40.399366,4.971413,0,0
Xmut1,23.725595,18.091426,11.612319,0,4.406165
Xmut2,22.684148,9.862538,10.646125,0.566665,0.983739
